name,category,subsidiary of / alias of,stakeholdergroup,nationality,email domain names,Membership Organization,Wiki Page
Samsung Electronics Romania SRL,"Software Provider, Hardware Provider, Consumer hardware and software vendor, Technology research and development company",Samsung Electronics Ind. Co.  Ltd.,Business,Romania,,ETSI,
Samsung Guangzhou Mobile R&D Center,Technology research and development,Samsung Electronics Ind. Co.  Ltd.,Business,China,,CCSA,
Samsung R&D Institute India - Bangalore Pvt. Ltd,Technology research and development,Samsung Electronics Ind. Co.  Ltd.,Business,India,,TSDSI,
SAMSUNG R&D INSTITUTE JAPAN,Technology research and development,Samsung Electronics Ind. Co.  Ltd.,Business,Japan,,ARIB,
Samsung R&D Institute UK,Technology research and development,Samsung Electronics Ind. Co.  Ltd.,Business,United Kingdom,,ETSI,
Samsung Research America,Research Institution,Samsung Electronics Ind. Co.  Ltd.,Business,United States,,ATIS,
Sandvine Incorporated,"Software Provider, Consulting",,Business,Canada,,ETSI,
Sanechips Technology Co.   Ltd.,Chipmaker,,Business,China,,CCSA,
Sapcorda Services GmbH,Networking Service Provider,u-blox AG,Business,Germany,,ETSI,
Sasken Technologies Limited,"Software Provider, Consulting",,Business,India,sasken.com,ETSI,
Satelio IoT Services,Satellite Communications Provider,,Business,Spain,,ETSI,
Satellite Applications Catapult Ltd,Satellite Communications Provider,,Business,United Kingdom,,ETSI,
Schindler Elevator Ltd,,,Business,Switzerland,,ETSI,
SECOM,Cybersecurity,,Business,Japan,,,
SECOM Intelligent Systems Laboratory,Cybersecurity,SECOM,Business,Japan,,,
Secrétariat Général de la Défense et de la Sécurité Nationale (SGDSN),,,Government,France,,ETSI,
Sectra Communications AB,Cybersecurity,,Business,Sweden,,ETSI,
Semtech Neuchatel SA,Chipmaker,,Business,Switzerland,semtech.com,ETSI,
Sennheiser Electronic GmbH & Co. KG,"Consumer hardware and software vendor, Technology research and development company",,Business,Germany,,ETSI,
Sensorise Digital Services Pvt Ltd,Hardware Provider,,Business,India,,TSDSI,
Sensus UK Systems Limited,"Hardware Provider, Software Provider",,Business,United Kingdom,,ETSI,
Sepura Limited,Networking equipment vendor,,Business,United Kingdom,sepura.com,ETSI,
Sequans Communications,Chipmaker,,Business,France,sequans.com,ETSI,
SES S.A.,Satellite Communications Provider,,Business,Luxembourg,,ETSI,
SGS Wireless,Testing and Certification,,Business,United Kingdom,,ETSI,
Shanghai Chen Si Electronics Technology Co.  Ltd,Networking equipment vendor,,Business,China,,CCSA,
Shanghai Jiao Tong University,Research Institution,,Academia,China,sjtu.edu.cn,CCSA,
Shanghai Langbo Communication Technology Co.  Ltd.,Technology research and development,,Business,China,,CCSA,
Shanghai National Engineering Research Center of Digital Television Co. Ltd.,Research Institution,,Academia,China,,CCSA,
Shanghai Quanray Electronics Co.  Ltd.,Hardware Provider,,Business,China,,CCSA,
Shanghai Tejet Communications Technology Co.  Ltd.,Testing and Certification,,Business,China,,CCSA,
SHARP Corporation,Hardware Provider,,Business,Japan,,ARIB,
Shenyang Institute of Automation  Chinese Academy of Sciences,Research Institution,,Academia,China,,CCSA,
Shenzhen city Tencent computer system Co. Ltd.,Consumer hardware and software vendor,Tencent,Business,China,tencent.com,CCSA,
Shenzhen Goodix Technology Co.  Ltd.,Chipmaker,,Business,China,,CCSA,
Shenzhen Yun Zhong Fei Network Technology Co.,Technology research and development,,Business,China,,CCSA,
ShenZhen Zhongxing Shitong Tech. Co. Ltd.,Technology research and development,,,China,,CCSA,
SIDN,Internet Registry,,Civil Society,Netherlands,sidn.nl,,
Siemens AG,Networking equipment vendor,,Business,Germany,"icn.siemens.de , siemens.de , mch.siemens.de , siemens.at , siemens.com",ETSI,
Sierra Wireless  S.A.,Networking equipment vendor,,Business,France,,ETSI,
Signalchip Innovations Pvt. Ltd.,Chipmaker,,Business,India,,TSDSI,
SIGOS GmbH,Cybersecurity,,Business,Germany,,ETSI,
Sinodun Internet Technologies,Cybersecurity,,Business,United States,sinodun.com,,
Sisvel International S.A.,Technology research and development,,Business,Luxembourg,,ETSI,
SITA OnAir Switzerland Sarl,Consumer hardware and software vendor,"SITA, Airbus",Business,Switzerland,,ETSI,
SK TELECOM,Telecommunications Provider,,Business,Korea,sk.com,TTA,
Skolkovo Institute of Science and Technology,Research Institution,,Academia,Russian Federation,,ETSI,
Skyworks Solutions Inc.,Chipmaker,,Business,United States,,ETSI,
Slovenian Institute for Standardisation,Regional Standards Body,,Technical Community,Slovenia,,ETSI,
Small Cell Forum,Association,,Business,United Kingdom,,OTHER,
Smarter Microelectronics(Guangzhou) Co. Ltd,Hardware Provider,,Business,China,,CCSA,
SoftBank Corp.,Financial Institution,,Business,Japan,,ARIB,
Softel Systems Pty Ltd,Cybersecurity,,Business,Australia,,ETSI,
Softil Ltd,Software Provider,,Business,Israel,,ETSI,
Sony Corporation,"Hardware Provider, Consumer hardware and software vendor, Technology research and development company",,Business,Japan,"sony.com, sony.co.jp",ARIB,
Sony Europe B.V.,"Hardware Provider, Consumer hardware and software vendor, Technology research and development company",Sony Corporation,Business,United Kingdom,eu.sony.com,ETSI,
Sony Group Corporation,"Hardware Provider, Consumer hardware and software vendor, Technology research and development company",Sony Corporation,Business,Japan,,ARIB,
Sooktha Consulting Pvt Ltd,Consulting,,Business,India,,TSDSI,
Sorenson Communications,Real time video,,Business ,United States,sorenson.com,,
Southern Linc.,Telecommunications Provider,,Business ,United States,,ATIS,
Southwest Jiaotong university,Research Institution,,Academia,China,,CCSA,
SpaceX Services  Inc,Space Agency,,Business ,United States,,ETSI,
Spark NZ Ltd,Telecommunications Provider,,Business ,New Zealand,,ATIS,
Special Service for the National Security of Hungary,,,Government,Hungary,,ETSI,
Sparta,Telecommunications Provider,,Business ,United States,sparta.com,,
Spectrum Effect,Cybersecurity,,Business ,United States,,ETSI,
Spirent Communications,Testing and Certification,,Business ,United States,spirent.com,ETSI,
Sporton International Inc.,Testing and Certification,,Business ,Taiwan,,ETSI,
Spreadtrum Communications (Shanghai) Co.  Ltd.,Chipmaker,,Business ,China,,CCSA,
SS8 Networks Inc.,"Software Provider, Consulting",,Business ,United States,,ETSI,
SSU,Research Institution,,Academia,Korea,ssu.ac.kr,,
Stanford Computer Science,Research Institution,,Academia,United States,cs.stanford.edu,,
ST ENGINEERING IDIRECT (IRELAND) LIMITED,Satellite Communications Provider,,Business ,Ireland,,ETSI,
Sterlite Technologies Ltd,Networking equipment vendor,Vedanta Group,Business ,India,,TSDSI,
STMicroelectronics International NV,Chipmaker,,Business ,Switzerland,,ETSI,
Südwestrundfunk,Content Distribution Network,,Business ,Germany,,ARIB,
Sumitomo Electric Industries  Ltd.,Networking equipment vendor,,Business ,Japan,,TTA,
SUNGKYUNKWAN UNIVERSITY,Research Institution,,Academia,Korea,skku.edu,ETSI,
Suomen Erillisverkot Oy,Cybersecurity,,Business,Finland,,ETSI,
Swedish Post and Telecom Authority,,,Government,Sweden,,ETSI,
Swedish Security Service,,,Government,Sweden,,ATIS,
Swift Navigation,"Software Provider, Hardware Provider",,Business,United States,,ETSI,
SWISSCOM SA,Telecommunications Provider,,Business,Switzerland,swisscom.com,ETSI,
SyncTechno Inc.,Technology research and development company,,Business,Korea,,TTA,
T-Mobile AUSTRIA GmbH,Telecommunications Provider,Deutsche Telekom,Business,Austria,t-mobile.at,ETSI,
T-Mobile Polska Spolka Akcyjna,Telecommunications Provider,Deutsche Telekom,Business,Poland,,ETSI,
T-Mobile USA  Inc.,Telecommunications Provider,Deutsche Telekom,Business,United States,t-mobile.com,ETSI,
T-Mobile USA Inc.,Telecommunications Provider,Deutsche Telekom,Business,United States,t-mobile.de,ATIS,
Tait Europe Limited,"Software Provider, Consulting",,Business,Austria,,ETSI,
Taiwan Network Information Center,Internet Registry,,Government,Taiwan,twnic.tw,,
Tantra Analyst,Consulting,,Business,United States,,ETSI,
TATA Consultancy Services,Consulting,Tata Motors Ltd,Business,India,tcs.com,,
TATA Communications Ltd,Consumer hardware and software vendor,Tata Motors Ltd,Business,India,tata.com,TSDSI,
Tata Motors Ltd,Consumer hardware and software vendor,,Business,India,,TSDSI,
TCL Communication Ltd.,Networking equipment vendor,,Business,China,,CCSA,
TD Tech Ltd,Networking equipment vendor,,Business,China,,CCSA,
TDF SAS,Networking Service Provider,,Business,France,,ETSI,
Tech Mahindra Limited,"Networking Service Provider, Consulting",Mahindra Group,Business,India,,TSDSI,
Technische Universit�t Dresden,Research Institution,,Academia,Germany,,,
Technology Innovation Institute,Research Institution,,Academia,United Arab Emirates,,ETSI,
Tejas Networks Ltd.,Networking equipment vendor,,Business,India,,TSDSI,
Tektronix GmbH,Hardware Provider,,Business,Germany,,ETSI,
Telecom Fiji Ltd,Telecommunications Provider,,Business,Fiji,,ETSI,
Telecom Italia S.p.A.,Telecommunications Provider,,Business,Italy,"telecomitalia.it , tilab.com",ETSI,
Telecommunication Development Industry Alliance,Association,,Business,China,,OTHER,
Telecommunications Consultants India Ltd,Consulting,,Business,India,IEEE.ORG,TSDSI,
Telecommunications Standards Development Society  India,Regional Standards Body,,Technical Community,India,,TSDSI,
Telecommunications Technology Association (TTA),Regional Standards Body,,Technical Community,Korea,,TTA,
Telefónica Germany GmbH & Co OHG,Telecommunications Provider,TELEFONICA S.A.,Business,Germany,,,
TELEFONICA S.A.,Telecommunications Provider,,Business,Spain,telefonica.com,ETSI,
Telekom Deutschland GmbH,Telecommunications Provider,Deutsche Telekom,Business,Germany,telekom.de,ETSI,
Telenor ASA,Telecommunications Provider,,Business,Norway,,ETSI,
Telia Company AB,Telecommunications Provider,,Business,Sweden,"telia.se , teliasonera.com",ETSI,
Telit Communications S.p.A.,Software Provider,,Business,Italy,,ETSI,
TELKOM SA SOC Ltd,Telecommunications Provider,,Business,South Africa,,ETSI,
Telkom University,Research Institution,,Academia,Indonesia,,ETSI,
Telstra Corporation Limited,Telecommunications Provider,,Business,Australia,team.telstra.com,ETSI,
Telus Corporation,Telecommunications Provider,,Business,Canada,telus.com,ATIS,
Tencent cloud computing Beijing Co.  Ltd,"Software Provider, Technology research and development company",Tencent,Business,China,tencent.com,CCSA,
TEOCO,Software Provider,,Business,United States,,ATIS,
Teradyne,"Hardware Provider, Testing and Certification",,Business,United States,,ATIS,
Tessares S.A.,Software Provider,,Business,Belgium,,ETSI,
Texas Instruments France,Chipmaker,,Business,France,,ETSI,
THALES,Software Provider,,Business,France,,ETSI,
The Critical Communication Association,Association,,Business,United Kingdom,,OTHER,
The Finnish Transport and Communications Agency,,,Government,Finland,,ETSI,
The State Radio_monitoring_center Testing Center,Testing and Certification,,Business,China,,CCSA,
The Telecommunication Technology Committee,Regional Standards Body,,Technical Community,Japan,,TTC,
The University of Tokyo,Research Institution,,Academia,Japan,nc.u-tokyo.ac.jp,ETSI,
Telecommunication Industry Association  (TIA),Standards Development Organisation,,Technical Community,United States,,OTHER,
TNO,Research Institution,,Academia,Netherlands,tno.nl,ETSI,
Toga Networks,Technology research and development company,Huawei,Business,Isreal,,,
Tongji University,Research Institution,,Academia,China,tongji.edu.cn,CCSA,
Toshiba,"Hardware Provider, Consumer hardware and software vendor",,Business,United Kingdom,"tari.toshiba.com, toshiba.co.jp",ETSI,
TOYOTA Info Technology Center USA  Inc.,"Hardware Provider, Consumer hardware and software vendor",TOYOTA MOTOR CORPORATION,Business,United States,,ETSI,
TOYOTA MOTOR CORPORATION,"Hardware Provider, Consumer hardware and software vendor",,Business,Japan,,TTC,
Trafikverket,,,Government,Sweden,,ETSI,
Transsion Holdings,Consumer hardware and software vendor,,Government,China,,CCSA,
Tsinghua University,Research Institution,,Government,China,"csnet1.cs.tsinghua.edu.cn, mails.tsinghua.edu.cn, cernet.edu.cn",,
TTP plc,Technology research and development company,,,United Kingdom,,ETSI,
TU Dresden,Research Institution,,Academia,Germany,tu-dresden.de,,
Turk Telekomunikasyon A.S.,Telecommunications Provider,,Business,Turkey,,ETSI,
Turkcell Iletisim Hizmetleri A.S.,Telecommunications Provider,,Business,Turkey,,ETSI,
TUV SUD BRITISH APPROVALS BOARD FOR TELECOMMUNICATIONS,Test and Certification,,Government,United Kingdom,,ETSI,
"TwoFive, Inc.",Software provider,,Business,Japan,twofive25.com,,
u-blox AG,Networking Service Provider,,Business,Switzerland,,ETSI,
U.S. Department of Defense,,,Government,United States,,ATIS,
U.S. Department of Transportation,,,Government,United States,,ATIS,
U.S. Naval Research Laboratory,,,Government,United States,"itd.nrl.navy.mil, nrl.navy.ml",,
Uangel Corporation,Networking Service Provider,,Business,Korea,,TTA,
Ubiwhere Lda,"Technology research and development company, Software Provider",,Business,Portugal,,ETSI,
UIET Panjab University Chandigarh,Research Institution,,Academia,India,,TSDSI,
UL VS Ltd,Technology research and development company,,Business,United Kingdom,,ETSI,
umlaut communications GmbH,"Software Provider, Consulting",,Business,Germany,,ETSI,
Unicom Broadband Online Co.  Ltd.,Telecommunications Provider,China Unicom,Business,China,,CCSA,
Unicom Vsens Telecommunications Co.  Ltd,Telecommunications Provider,China Unicom,Business,China,,CCSA,
Unicompay Co.  Ltd.,Telecommunications Provider,China Unicom,Business,China,,CCSA,
Union Internationale des Chemins de Fer,Association,,Business,France,,ETSI,
Union Telephone Company,Association,,Business,United States,,ATIS,
Universidad Carlos III Madria,Research Institution,,Academia,Spain,it.uc3m.es,,
Universidad de Malaga,Research Institution,,Academia,Spain,,ETSI,
Universidad del País Vasco/Euskal Herriko Unibertsitatea,Research Institution,,Academia,Spain,,ETSI,
Universidad Politecnica de Barcelona,Research Institution,,Academia,Spain,"entel.upc.es, upc.edu, ac.upc.edu",,
University College London (UCL),Research Institution,,Academia,United Kingdom,ucl.ac.uk,,
"University of California, Berkeley",Research Institution,,Academia,United States,"cal.berkeley.edu, cs.berkeley.edu",,
"University of California, Los Angeles",Research Institution,,Academia,United States,cs.ucla.edu,,
University of California Santa Barbara,Research Institution,,Academia,United States,cs.ucsb.edu,,
University of Delaware,Research Institution,,Academia,United States,cis.udel.edu,,
University of Electronic Science and Technology of China,Research Institution,,Academia,China,,CCSA,
University of Helsinki,Research Institution,,Academia,Finland,cs.helsinki.fi,,
University of Michigan,Research Institution,,Academia,United States,umich.edu,,
University of Minnesota,Research Institution,,Academia,United States,umn.edu,,
University of Murcia,Research Institution,,Academia ,Spain,um.es,,
University of Oslo,Research Institution,,Academia,Norway,ifi.uio.no,,
University of Piraeus,Research Institution,,Academia,Greece,,ETSI,
"University of Professional Studies, Accra",Research Institution,,Academia,Ghana,,,
University of Southern California Information Sciences Institute USC ISI,Research Institution,,Academia,United States,isi.edu,,
University of Washington,Research Institution,,Academia,United States,"washington.edu, cs.washington.edu",,
University of Wisconsin,Research Institution,,Academia,United States,doit.wisc.edu,,
UPSA,Research Institution,,Academia,Ghana,upsa.edu.gh,,
US Bank,Financial Institution,,Business,United States,usbank.com,,
US Cellular Corporation,Telecommunications Provider,,Business,United States,,ETSI,
US National Aeronautics and Space Administration,Space Agency,,Government,United States,cyber.nsa.gov,ATIS,
US National Security Agency,Cybersecurity,,Government,United States,"nsa.gov , tycho.ncsc.mil , restarea.ncsc.mil, cyber.nsa.gov",ATIS,
UTIMACO TS GmbH,Cybersecurity,,Business,Germany,,ETSI,
Valeo Radar Systems Inc. (VRS),Hardware Provider,Valeo,Business,United States,,ETSI,
Valeo,Hardware Provider,,Business,France,,,
Valeo Telematik und Akustik GmbH,Hardware Provider,Valeo,Business,Germany,,ETSI,
VALID SOLUCIONES TECNOLÓGICAS S.A.U,Technology research and development company,,Business,Spain,,ETSI,
Vanchip (Tianjin) Technology Co.  Ltd.,Chipmaker,,Business,China,,CCSA,
Verisign,Internet Registry,,Business,United States,"verisignlabs.com , verisign.com",,
Verizon,Internet Registry,,Business,United States,"verizonwireless.com , verizon.com",,
Verizon Denmark A/S,Internet Registry,Verizon,Business,Denmark,,ETSI,
Verizon Spain S.L.,Internet Registry,Verizon,Business,Spain,,ETSI,
Verizon Sweden Aktiebolag 2116,Internet Registry,Verizon,Business,Sweden,,ETSI,
Verizon Switzerland AG,Internet Registry,Verizon,Business,Switzerland,,ETSI,
Verizon UK Ltd,Internet Registry,Verizon,Business,United Kingdom,,ETSI,
Viavi Solutions Deutschland GmbH,Testing and Certification,,Business,Germany,,ETSI,
Vipps AS,Consumer hardware and software vendor,,Business,Norway,,ETSI,
vivo Communication Technology Co.  Ltd.,vivo Communication Technology Co.  Ltd.,vivo Mobile Communication Co.  Ltd,Business,China,,CCSA,
vivo Mobile Communication (Chongqing) Co.  Ltd,vivo Communication Technology Co.  Ltd.,vivo Mobile Communication Co.  Ltd,Business,China,,CCSA,
vivo Mobile Communication (Hangzhou) Co.  Ltd.,vivo Communication Technology Co.  Ltd.,vivo Mobile Communication Co.  Ltd,Business,China,,CCSA,
vivo Mobile Communication (Shenzhen) Co.  Ltd.,vivo Communication Technology Co.  Ltd.,vivo Mobile Communication Co.  Ltd,Business,China,,CCSA,
vivo Mobile Communication Co.  Ltd,vivo Communication Technology Co.  Ltd.,,Business,China,vivo.com,CCSA,
VIVO TECH GmbH,vivo Communication Technology Co.  Ltd.,vivo Mobile Communication Co.  Ltd,Business,Germany,,ETSI,
VMware,Software provider,,Business,United States,vmware.com,,
VMware Bulgaria EOOD,Software provider,VMware,Business,Bulgaria,,ETSI,
Vodafone España SA,Telecommunications Provider,Vodafone Group Plc,Business,Spain,,ETSI,
Vodafone GmbH,Telecommunications Provider,Vodafone Group Plc,Business,Germany,,ETSI,
Vodafone Group Plc,Telecommunications Provider,,Business,United Kingdom,"gb.vodafone.co.uk , vf.vodafone.co.uk , vodafone.com",ETSI,
Vodafone Idea Ltd,Telecommunications Provider,Vodafone Group Plc,Business,India,,TSDSI,
Vodafone Ireland Plc,Telecommunications Provider,Vodafone Group Plc,Business,Ireland,,ETSI,
Vodafone Italia SpA,Telecommunications Provider,Vodafone Group Plc,Business,Italy,,ETSI,
Vodafone Romania S.A.,Telecommunications Provider,Vodafone Group Plc,Business,Romania,,ETSI,
Vodafone Telekomünikasyon A.S.,Telecommunications Provider,Vodafone Group Plc,Business,Turkey,,ETSI,
VoiceAge Corporation,"Software Provider, Technology research and development company",,Business,Canada,,ETSI,
Volkswagen AG,Consumer hardware and software vendor,,Business,Germany,,ETSI,
VTT Technical Research Centre of Finland,Research Institution,,Academia,Finland,,ETSI,
WE Certification Oy,Testing and Certification,,Business,Finland,,ETSI,
Western Digital Technologies  Inc.,Consumer hardware and software vendor,,Business,United States,,ETSI,
WIDE project,Research Institution,,Academia,Japan,"wide.ad.jp , sfc.wide.ad.jp",,
WILUS Inc.,Technology research and development company,,Business,Korea,,TTA,
Wipro Limited,Consulting,,Business,India,,TSDSI,
Wireless Broadband Alliance Ltd.,Association,,Business,Singapore,,OTHER,
World Wide Web Consortium (W3C),Internet governance body,,Technical Community,,w3.org,,
Xcape  Inc.,Consulting,,Business,United States,,ATIS,
Xerox,Software Provider,,Business,United States,cp10.es.xerox.com,,
Xiaomi Communications,"Consumer hardware and software vendor, Software Provider, Hardware Provider",Xiaomi Technology,Business,China,xiaomi.com,CCSA,
Xiaomi Technology,"Consumer hardware and software vendor, Software Provider, Hardware Provider",,Business,China,xiaomi.com,CCSA,
Xidian University,Research Institution,,Academia,China,,CCSA,
Xilinx Ireland,Software Provider,,Business,Ireland,xilinx.com,ETSI,
Yonsei University,Research Institution,,Academia,Korea,,TTA,
ZEKU TECHNOLOGY (SHANGHAI) CORP.  LTD.,Technology research and development company,,Business,China,,CCSA,
ZHE JIANG GEESPACE TECHNOLOGY CO.  LTD.,Satellite Communications Provider,Geely Technology Group,Business,China,,CCSA,
Zhejiang Lab,Research Institution,"Alibaba, Zhejiang University",Academia,China,,CCSA,
Zhejiang University,Research Institution,,Academia,China,,CCSA,
Zollkriminalamt (ZKA),,,Government,Germany,,ETSI,
ZONSON SAMRT AUTO CORPORATION,Consumer hardware and software vendor,,Business,China,,CCSA,
ZTE,Networking equipment vendor,,Business,China,"zte.com.cn, zte.com",CCSA,
ZTE Corporation,Networking equipment vendor,ZTE,Business,China,,ETSI,
ZTE Photonics Technology Co. Ltd.,Networking equipment vendor,ZTE,Business,China,,CCSA,
ZTE Wistron Telecom AB,Networking equipment vendor,ZTE,Business,Sweden,,ETSI,
ZXNE CORPORATION,,,,China,,CCSA,